model,seed,generation,evaluations,best_objective_m,median_objective_m,mean_objective_m
TMSFF,43,59,6000,1.8133349854676053,1.8133645836419718,1.8346678860981098
TMSFF,43,60,6100,1.8133349854676053,1.8133645836419718,1.8560695768864415
TMSFF,43,61,6200,1.8133349854676053,1.8133349854676053,1.8146463575041403
TMSFF,43,62,6300,1.8133349854676053,1.8133349854676053,1.8557116570765906
TMSFF,43,63,6400,1.8133349854676053,1.8133349854676053,1.8361175816816067
TMSFF,43,64,6500,1.8133349854676053,1.8133349854676053,1.8360248597411046
TMSFF,43,65,6600,1.8133349854676053,1.8133349854676053,1.8272246003433208
TMSFF,43,66,6700,1.8133349854676053,1.8133349854676053,1.8398045847691156
TMSFF,43,67,6800,1.8133349854676053,1.8133349854676053,1.8258813915710004
TMSFF,43,68,6900,1.8133349854676053,1.8133349854676053,1.8362676473284278
TMSFF,43,69,7000,1.8133238819769677,1.8133349854676053,1.820452776025165
TMSFF,43,70,7100,1.8133238819769677,1.8133349854676053,1.8505899250413962
TMSFF,43,71,7200,1.8133238819769677,1.8133349854676053,1.825404165319959
TMSFF,43,72,7300,1.8133238819769677,1.8133349854676053,1.8435298544531036
TMSFF,43,73,7400,1.8133137808745445,1.8133287479377471,1.8245446799696325
TMSFF,43,74,7500,1.8133137808745445,1.8133238819769677,1.8337642825450098
TMSFF,43,75,7600,1.8133137808745445,1.8133238819769677,1.8605617471911808
TMSFF,43,76,7700,1.8133137808745445,1.8133137808745445,1.819022642278743
TMSFF,43,77,7800,1.8133137808745445,1.8133137808745445,1.8394764977852958
TMSFF,43,78,7900,1.8133137808745445,1.8133137808745445,1.8230098824232013
TMSFF,43,79,8000,1.8133137808745445,1.8133137808745445,1.8227692683104606
TMSFF,43,80,8100,1.8133137808745445,1.8133137808745445,1.837893545903383
TMSFF,44,0,100,2.0582827252450224,3.372226295333731,4.380536124202372
TMSFF,44,1,200,1.8882668538376897,2.541748016963205,2.691489746872902
TMSFF,44,2,300,1.887876515313277,2.255678477663394,2.3564748636232724
TMSFF,44,3,400,1.881374021195686,2.1452534746626846,2.170823318998032
TMSFF,44,4,500,1.8787185268551276,2.0337755517559915,2.055295639181077
TMSFF,44,5,600,1.8657604394361582,1.93840677531246,1.9768052140381402
TMSFF,44,6,700,1.8657604394361582,1.8883454255073389,1.9032379503373722
TMSFF,44,7,800,1.864089768225506,1.881374021195686,1.884069950395809
TMSFF,44,8,900,1.8602926971179596,1.8717589480597638,1.877238936131915
TMSFF,44,9,1000,1.8465213271422694,1.866634625261018,1.888373590126089
TMSFF,44,10,1100,1.8451183432866771,1.8636638695591328,1.8701882647009314
TMSFF,44,11,1200,1.8438747719921829,1.8602926971179596,1.896628590470041
TMSFF,44,12,1300,1.8429107288159654,1.8575230056591474,1.885330478342084
TMSFF,44,13,1400,1.8408837334478436,1.8483534098878058,1.8600189498459587
TMSFF,44,14,1500,1.840157410218318,1.8465213271422694,1.859012771393578
TMSFF,44,15,1600,1.8382934529028696,1.8429873528303822,1.8490015255901122
TMSFF,44,16,1700,1.8355610291049247,1.8415379637161375,1.8461222452280603
TMSFF,44,17,1800,1.8346408283712712,1.840490002001295,1.848552941201185
TMSFF,44,18,1900,1.832465881936766,1.8386184834312944,1.8410828743723275
