x1,y1,x2,y2,v1,v2,a1,a2,c1,c2,s1,s2
34.06421661,64.87197591,21.96032524,38.89293549,10.36892815610873,9.28617913402222,0.13646064216871423,0.9247527654282273,1.3671212928035938,0.8419982821683738,72.69711532535915,44.014349676274065
34.27394867,65.88743599,22.57876015,39.58566162,10.382574220325601,9.378654410565042,0.19682605463607672,0.7099433893727713,1.3745790574015013,0.8635852564464002,73.73401071497071,44.94298564540021
34.47636795,66.90577037,23.18810654,40.29860521,10.402256825789209,9.44964874950232,0.22154781018141279,0.5344674330656574,1.381545865030802,0.8850573530805953,74.77227038066559,45.88086925219198
34.67205811,67.92742336,23.78650093,41.02996201,10.42441160680735,9.503095492808885,0.21444224903632403,0.41714104795236295,1.3880668761061652,0.9062834084691619,75.81249802823399,46.82585211726719
34.86148453,68.95250931,24.3725338,41.77806208,10.445855831710983,9.544809597604122,0.16102894532448175,0.3355197394420628,1.3941804922831584,0.9271522083385396,76.85494092370678,47.77617924094318
35.04501724,69.98084524,24.94533157,42.54156494,10.46195872624343,9.578361571548328,0.05703147619865234,0.2640864680287969,1.3999192052935205,0.947573737500063,77.89952803197637,48.73067717407919
35.22291946,71.01180431,25.50437737,43.31932962,10.467661873863296,9.604770218351208,-0.09143975549985583,0.18719330381296473,1.4053101572537623,0.9674747391494722,78.94572524959472,49.68852958019653
35.39535522,72.04426998,26.04933357,44.11023976,10.45851789831331,9.623489548732504,-0.28327645745994445,0.06822618748202558,1.410376156388294,0.9867946838308057,79.99249262953963,50.64902200901128
35.56241226,73.0766933,26.5799408,44.91309185,10.430190252567316,9.630312167480707,-0.5494438054852502,-0.08164088086171972,1.4151366037196182,1.0054809077209041,81.03834546872676,51.61138545567223
35.72411346,74.10710167,27.09581947,45.72629436,10.375245872018791,9.622148079394535,-0.8406473523751856,-0.2738699793252408,1.4196074548763893,1.0234867236526435,82.08136541777976,52.57443019359014
35.88037872,75.13279092,27.59654808,46.54795621,10.291181136781272,9.59476108146201,-1.1738664729181636,-0.5126573259653178,1.4238021958869445,1.0407719171027832,83.11889082330151,53.536657497600345
36.03110886,76.15081082,28.08161545,47.37578714,10.173794489489456,9.543495348865479,-1.5043910959352225,-0.7892185123351148,1.4277328404920564,1.057301668714683,84.14800964022132,54.49614504923523
36.17616272,77.15779658,28.55041504,48.20705724,10.023355379895934,9.464573497631967,-1.8429558774408328,-1.0982762883380381,1.4314105725614243,1.0730470724972485,85.16538969983205,55.45050494996238
36.31542206,78.15041099,29.00230026,49.03867089,9.83905979215185,9.354745868798163,-2.1147262479003537,-1.4249096535194816,1.4348463143887873,1.0879860659879284,86.16772577021935,56.39697158969373
36.44877243,79.12523849,29.43661308,49.86721484,9.627587167361815,9.212254903446215,-2.2916684162609613,-1.73549434411143,1.4380515887430536,1.1021042501206963,87.15163219505864,57.33245440742634
36.57619858,80.07952719,29.85274887,50.68909525,9.398420325735719,9.038705469035072,-2.347063752094556,-2.003760456057524,1.4410397860407798,1.115397219692061,88.11439130440722,58.25368711604741
36.69780731,81.01146837,30.25028992,51.50084834,9.163713950526263,8.83832942342932,-2.250182829664684,-2.181822458184133,1.443826352078306,1.127872668218562,89.05423366178556,59.157563909256716
36.81384659,81.9204631,30.62908554,52.29939361,8.938695667559795,8.620147177610907,-1.9152248445934283,-2.2542844204314427,1.4464290143845433,1.1395526650191647,89.97060533144698,60.041402225472254
