model,seed,generation,best_rmse_m,median_rmse_m,mean_rmse_m
T-IDM,45,57,0.20448738758340995,0.20462813351411957,0.21258517009685043
T-IDM,45,58,0.20448738758340995,0.2046110065103923,0.2317327573009211
T-IDM,45,59,0.20214365016899732,0.2046110065103923,0.2064271288674506
T-IDM,45,60,0.2021339450901127,0.20460692412455136,0.2172212679756074
T-IDM,45,61,0.2019908378837303,0.20460349571097233,0.20726809905370178
T-IDM,45,62,0.20190328791211626,0.20448989335866127,0.2311835888006559
T-IDM,45,63,0.20189992277826432,0.20454331799629583,0.2125085364104889
T-IDM,45,64,0.20189992277826432,0.20448738758340995,0.20586146572767944
T-IDM,45,65,0.20189992277826432,0.20217096672093982,0.20638378655385625
T-IDM,45,66,0.20189985476886455,0.20193916772243445,0.20619533341092475
T-IDM,45,67,0.20183245232173533,0.2019002697013981,0.20405510722627426
T-IDM,45,68,0.2018323589468769,0.20189992277826432,0.20548398297658704
T-IDM,45,69,0.2018323589468769,0.20189992277826432,0.2128824387745307
T-IDM,45,70,0.20180232720876817,0.20189988877356443,0.2094723646279069
T-IDM,45,71,0.20165528925597997,0.20188849041617715,0.20887283153609887
T-IDM,45,72,0.20165528925597997,0.2018323589468769,0.20378010234224975
T-IDM,45,73,0.20158072887580428,0.20180232720876817,0.20458728057216327
T-IDM,45,74,0.20158072887580428,0.20180232720876817,0.20987233687149306
T-IDM,45,75,0.20106598125546232,0.2017828063428221,0.20593702746043036
T-IDM,45,76,0.20106569129105328,0.20167113684985166,0.20735089794049721
T-IDM,45,77,0.20098473828022886,0.20159660702125648,0.20449902125699043
T-IDM,45,78,0.1989007883739474,0.20118980282176288,0.21153336646544876
T-IDM,45,79,0.1989007883739474,0.2011798644953877,0.20425454960113992
T-IDM,45,80,0.1984148709098136,0.20106598125546232,0.2144610068795371
T-IDM,46,0,0.30526248244935994,3.1790370859529675,3.4784339628148833
T-IDM,46,1,0.30526248244935994,1.4257938624107085,1.797343258832232
T-IDM,46,2,0.2909453077075335,0.925067330767833,1.0593120449412945
T-IDM,46,3,0.2909453077075335,0.580229821430668,0.7316800678214651
T-IDM,46,4,0.2909453077075335,0.44010748870563376,0.68204770101237
T-IDM,46,5,0.2909453077075335,0.31596895384983414,0.5486618539577787
T-IDM,46,6,0.2909453077075335,0.305839665088864,0.4675099174601071
T-IDM,46,7,0.2909453077075335,0.30542398397645243,0.6225826824882721
T-IDM,46,8,0.2909453077075335,0.3039671091955999,0.5263624732921142
T-IDM,46,9,0.2876067008404822,0.3023265407404636,0.5155853722246158
T-IDM,46,10,0.27679196389301525,0.2976690775022609,0.4890706096148115
T-IDM,46,11,0.2765556192282365,0.29807821790561584,0.5339258165430556
T-IDM,46,12,0.2571632348315339,0.29676898908693095,0.6425365446363859
T-IDM,46,13,0.2571632348315339,0.29484962470386333,0.5749617604601873
T-IDM,46,14,0.2571632348315339,0.3495427387316101,0.7404935603141384
T-IDM,46,15,0.2571632348315339,0.2930900651902103,0.4561361127164521
T-IDM,46,16,0.25716012845797676,0.2930503243063298,0.5348677779720051
T-IDM,46,17,0.25716012845797676,0.2930485294606024,0.7141705420226774
T-IDM,46,18,0.25716012845797676,0.2928766066684382,0.518727998573836
T-IDM,46,19,0.25716012845797676,0.2571632348315339,0.4618371528867382
T-IDM,46,20,0.2570162129673279,0.2571632348315339,0.3175988266603137
T-IDM,46,21,0.2570162129673279,0.25716012845797676,0.26172590597927076
T-IDM,46,22,0.2570162129673279,0.25716012845797676,0.2609102061357423
T-IDM,46,23,0.25692111997422606,0.2571583190054051,0.27132576213629817
T-IDM,46,24,0.25692111997422606,0.2570162129673279,0.26699725085821996
T-IDM,46,25,0.25692111997422606,0.2570162129673279,0.2630133078930676
T-IDM,46,26,0.2568165755817072,0.2569825324771092,0.26523454638444055
T-IDM,46,27,0.2567378557826517,0.25692111997422606,0.2627230838036521
T-IDM,46,28,0.2567378557826517,0.25692111997422606,0.2734541083570558
T-IDM,46,29,0.2567378557826517,0.25681995071444264,0.2647791768991549
T-IDM,46,30,0.2567358826302395,0.2568165755817072,0.2603038048619168
T-IDM,46,31,0.25672217973933015,0.2567378557826517,0.27274162539989355
T-IDM,46,32,0.25672217973933015,0.2567378557826517,0.2725793426484418
T-IDM,46,33,0.2566680563994707,0.2567378557826517,0.2587684054038265
T-IDM,46,34,0.25661651034872324,0.2567358826302395,0.2685622832547728
